'radius'    'mass'      'beta'
5.05336e-03 1.00000e-21 9.60276e-01
5.71364e-03 1.44544e-21 9.60923e-01
6.46021e-03 2.08930e-21 9.61780e-01
7.30432e-03 3.01995e-21 9.62917e-01
8.25873e-03 4.36516e-21 9.64422e-01
9.33784e-03 6.30957e-21 9.66411e-01
1.05580e-02 9.12011e-21 9.69031e-01
1.19375e-02 1.31826e-20 9.72463e-01
1.34973e-02 1.90546e-20 9.76920e-01
1.52609e-02 2.75423e-20 9.82641e-01
1.72549e-02 3.98107e-20 9.89942e-01
1.95095e-02 5.75440e-20 9.98891e-01
2.20587e-02 8.31764e-20 1.00967e+00
2.49410e-02 1.20226e-19 1.02223e+00
2.81998e-02 1.73780e-19 1.03626e+00
3.18845e-02 2.51189e-19 1.05116e+00
3.60507e-02 3.63078e-19 1.06610e+00
4.07612e-02 5.24807e-19 1.08010e+00
4.60872e-02 7.58578e-19 1.09255e+00
5.21091e-02 1.09648e-18 1.10290e+00
5.89178e-02 1.58489e-18 1.11097e+00
6.66162e-02 2.29087e-18 1.11678e+00
7.53205e-02 3.31131e-18 1.12062e+00
8.51621e-02 4.78630e-18 1.12272e+00
9.62897e-02 6.91831e-18 1.12277e+00
1.08871e-01 1.00000e-17 1.12060e+00
1.23097e-01 1.44544e-17 1.11653e+00
1.39181e-01 2.08930e-17 1.11053e+00
1.57367e-01 3.01995e-17 1.10253e+00
1.77929e-01 4.36516e-17 1.09275e+00
2.01178e-01 6.30957e-17 1.08124e+00
2.27464e-01 9.12011e-17 1.06818e+00
2.57186e-01 1.31826e-16 1.05359e+00
2.90790e-01 1.90546e-16 1.03747e+00
3.28786e-01 2.75423e-16 1.01982e+00
3.71746e-01 3.98107e-16 1.00069e+00
4.20320e-01 5.75440e-16 9.80025e-01
4.75240e-01 8.31764e-16 9.57880e-01
5.37337e-01 1.20226e-15 9.34164e-01
6.07547e-01 1.73780e-15 9.08912e-01
6.86931e-01 2.51189e-15 8.82096e-01
7.76688e-01 3.63078e-15 8.53716e-01
8.78173e-01 5.24807e-15 8.23797e-01
9.92918e-01 7.58578e-15 7.92381e-01
1.12266e+00 1.09648e-14 7.59550e-01
1.26935e+00 1.58489e-14 7.25422e-01
1.43520e+00 2.29087e-14 6.90143e-01
1.62273e+00 3.31131e-14 6.53888e-01
1.83476e+00 4.78630e-14 6.16885e-01
2.07450e+00 6.91831e-14 5.79394e-01
2.34556e+00 1.00000e-13 5.41686e-01
2.65204e+00 1.44544e-13 5.04067e-01
2.99856e+00 2.08930e-13 4.66849e-01
3.39037e+00 3.01995e-13 4.30341e-01
3.83336e+00 4.36516e-13 3.94841e-01
4.33424e+00 6.30957e-13 3.60624e-01
4.90057e+00 9.12011e-13 3.27932e-01
5.54089e+00 1.31826e-12 2.96969e-01
6.26489e+00 1.90546e-12 2.67891e-01
7.08348e+00 2.75423e-12 2.40807e-01
8.00903e+00 3.98107e-12 2.15774e-01
9.05552e+00 5.75440e-12 1.92806e-01
1.02387e+01 8.31764e-12 1.71869e-01
1.15766e+01 1.20226e-11 1.52895e-01
1.30892e+01 1.73780e-11 1.35788e-01
1.47995e+01 2.51189e-11 1.20430e-01
1.67332e+01 3.63078e-11 1.06693e-01
1.89197e+01 5.24808e-11 9.44433e-02
2.13918e+01 7.58578e-11 8.35462e-02
2.41869e+01 1.09648e-10 7.38717e-02
2.73472e+01 1.58489e-10 6.52957e-02
3.09205e+01 2.29087e-10 5.77025e-02
3.49607e+01 3.31131e-10 5.09853e-02
3.95288e+01 4.78630e-10 4.50466e-02
4.46937e+01 6.91831e-10 3.97985e-02
5.05336e+01 1.00000e-09 3.51620e-02
5.71365e+01 1.44544e-09 3.10667e-02
6.46021e+01 2.08930e-09 2.74495e-02
7.30432e+01 3.01995e-09 2.42550e-02
8.25873e+01 4.36516e-09 2.14335e-02
9.33784e+01 6.30957e-09 1.89414e-02
1.05580e+02 9.12011e-09 1.67402e-02
1.19375e+02 1.31826e-08 1.47957e-02
1.34973e+02 1.90546e-08 1.30779e-02
1.52609e+02 2.75423e-08 1.15601e-02
1.72549e+02 3.98107e-08 1.02190e-02
1.95095e+02 5.75440e-08 9.03394e-03
2.20587e+02 8.31764e-08 7.98666e-03
2.49410e+02 1.20226e-07 7.06106e-03
2.81998e+02 1.73780e-07 6.24297e-03
3.18845e+02 2.51189e-07 5.51985e-03
3.60507e+02 3.63078e-07 4.88063e-03
4.07612e+02 5.24808e-07 4.31556e-03
4.60872e+02 7.58578e-07 3.81600e-03
5.21091e+02 1.09648e-06 3.37435e-03
5.89178e+02 1.58489e-06 2.98387e-03
6.66162e+02 2.29087e-06 2.63863e-03
7.53205e+02 3.31131e-06 2.33337e-03
8.51621e+02 4.78630e-06 2.06346e-03
9.62897e+02 6.91831e-06 1.82479e-03
1.08871e+03 1.00000e-05 1.61375e-03
