'radius'    'mass'      'beta'
4.16677E-03 1.00000E-21 8.26739E-02
4.71121E-03 1.44544E-21 8.27659E-02
5.32679E-03 2.08930E-21 8.28914E-02
6.02281E-03 3.01995E-21 8.30632E-02
6.80977E-03 4.36516E-21 8.32990E-02
7.69956E-03 6.30957E-21 8.36240E-02
8.70561E-03 9.12011E-21 8.40736E-02
9.84311E-03 1.31826E-20 8.46976E-02
1.11293E-02 1.90546E-20 8.55664E-02
1.25834E-02 2.75423E-20 8.67798E-02
1.42276E-02 3.98107E-20 8.84790E-02
1.60867E-02 5.75440E-20 9.08705E-02
1.81886E-02 8.31764E-20 9.42197E-02
2.05652E-02 1.20226E-19 9.89446E-02
2.32523E-02 1.73780E-19 1.05599E-01
2.62905E-02 2.51189E-19 1.14952E-01
2.97257E-02 3.63078E-19 1.28034E-01
3.36098E-02 5.24807E-19 1.46158E-01
3.80014E-02 7.58578E-19 1.70863E-01
4.29667E-02 1.09648E-18 2.03777E-01
4.85809E-02 1.58489E-18 2.46386E-01
5.49287E-02 2.29087E-18 2.99219E-01
6.21058E-02 3.31131E-18 3.61043E-01
7.02208E-02 4.78630E-18 4.30997E-01
7.93961E-02 6.91831E-18 5.08244E-01
8.97703E-02 1.00000E-17 5.87213E-01
1.01500E-01 1.44544E-17 6.61442E-01
1.14762E-01 2.08930E-17 7.31387E-01
1.29757E-01 3.01995E-17 7.91285E-01
1.46712E-01 4.36516E-17 8.32789E-01
1.65882E-01 6.30957E-17 8.55329E-01
1.87557E-01 9.12011E-17 8.58518E-01
2.12063E-01 1.31826E-16 8.45240E-01
2.39772E-01 1.90546E-16 8.14411E-01
2.71102E-01 2.75423E-16 7.70113E-01
3.06525E-01 3.98107E-16 7.15410E-01
3.46577E-01 5.75440E-16 6.55048E-01
3.91861E-01 8.31764E-16 5.90584E-01
4.43063E-01 1.20226E-15 5.26058E-01
5.00955E-01 1.73780E-15 4.63502E-01
5.66412E-01 2.51189E-15 4.05454E-01
6.40421E-01 3.63078E-15 3.52070E-01
7.24101E-01 5.24807E-15 3.06448E-01
8.18715E-01 7.58578E-15 2.64934E-01
9.25690E-01 1.09648E-14 2.29993E-01
1.04664E+00 1.58489E-14 1.99072E-01
1.18340E+00 2.29087E-14 1.72817E-01
1.33803E+00 3.31131E-14 1.50735E-01
1.51286E+00 4.78630E-14 1.30932E-01
1.71054E+00 6.91831E-14 1.14182E-01
1.93404E+00 1.00000E-13 9.96682E-02
2.18675E+00 1.44544E-13 8.73814E-02
2.47248E+00 2.08930E-13 7.66181E-02
2.79554E+00 3.01995E-13 6.72240E-02
3.16082E+00 4.36516E-13 5.89662E-02
3.57382E+00 6.30957E-13 5.17412E-02
4.04079E+00 9.12011E-13 4.54152E-02
4.56877E+00 1.31826E-12 3.98576E-02
5.16574E+00 1.90546E-12 3.50040E-02
5.84071E+00 2.75423E-12 3.07326E-02
6.60388E+00 3.98107E-12 2.69877E-02
7.46676E+00 5.75440E-12 2.37052E-02
8.44240E+00 8.31764E-12 2.08249E-02
9.54551E+00 1.20226E-11 1.82990E-02
1.07928E+01 1.73780E-11 1.60852E-02
1.22030E+01 2.51189E-11 1.41441E-02
1.37975E+01 3.63078E-11 1.24415E-02
1.56003E+01 5.24808E-11 1.09482E-02
1.76387E+01 7.58578E-11 9.63790E-03
1.99434E+01 1.09648E-10 8.48768E-03
2.25493E+01 1.58489E-10 7.47749E-03
2.54956E+01 2.29087E-10 6.58984E-03
2.88270E+01 3.31131E-10 5.80946E-03
3.25936E+01 4.78630E-10 5.12305E-03
3.68524E+01 6.91831E-10 4.51901E-03
4.16677E+01 1.00000E-09 3.98721E-03
4.71121E+01 1.44544E-09 3.51882E-03
5.32679E+01 2.08930E-09 3.10611E-03
6.02281E+01 3.01995E-09 2.74234E-03
6.80977E+01 4.36516E-09 2.42159E-03
7.69956E+01 6.30957E-09 2.13870E-03
8.70561E+01 9.12011E-09 1.88913E-03
9.84311E+01 1.31826E-08 1.66889E-03
1.11293E+02 1.90546E-08 1.47450E-03
1.25834E+02 2.75423E-08 1.30290E-03
1.42276E+02 3.98107E-08 1.15137E-03
1.60867E+02 5.75440E-08 1.01755E-03
1.81886E+02 8.31764E-08 8.99359E-04
2.05652E+02 1.20226E-07 7.94948E-04
2.32523E+02 1.73780E-07 7.02703E-04
2.62905E+02 2.51189E-07 6.21197E-04
2.97257E+02 3.63078E-07 5.49173E-04
3.36098E+02 5.24808E-07 4.85521E-04
3.80014E+02 7.58578E-07 4.29264E-04
4.29668E+02 1.09648E-06 3.79540E-04
4.85809E+02 1.58489E-06 3.35586E-04
5.49287E+02 2.29087E-06 2.96732E-04
6.21058E+02 3.31131E-06 2.62383E-04
7.02208E+02 4.78630E-06 2.32015E-04
7.93961E+02 6.91831E-06 2.05167E-04
8.97703E+02 1.00000E-05 1.81429E-04
