'radius'    'mass'      'beta'
4.16677e-03 1.00000e-21 9.82444e-02
4.71121e-03 1.44544e-21 9.83315e-02
5.32679e-03 2.08930e-21 9.84513e-02
6.02281e-03 3.01995e-21 9.86166e-02
6.80977e-03 4.36516e-21 9.88451e-02
7.69956e-03 6.30957e-21 9.91618e-02
8.70561e-03 9.12011e-21 9.96014e-02
9.84311e-03 1.31826e-20 1.00212e-01
1.11293e-02 1.90546e-20 1.01061e-01
1.25834e-02 2.75423e-20 1.02241e-01
1.42276e-02 3.98107e-20 1.03876e-01
1.60867e-02 5.75440e-20 1.06142e-01
1.81886e-02 8.31764e-20 1.09246e-01
2.05652e-02 1.20226e-19 1.13471e-01
2.32523e-02 1.73780e-19 1.19175e-01
2.62905e-02 2.51189e-19 1.26740e-01
2.97257e-02 3.63078e-19 1.36555e-01
3.36098e-02 5.24807e-19 1.48931e-01
3.80014e-02 7.58578e-19 1.63966e-01
4.29667e-02 1.09648e-18 1.81416e-01
4.85809e-02 1.58489e-18 2.00583e-01
5.49287e-02 2.29087e-18 2.20335e-01
6.21058e-02 3.31131e-18 2.39383e-01
7.02208e-02 4.78630e-18 2.56780e-01
7.93961e-02 6.91831e-18 2.71984e-01
8.97703e-02 1.00000e-17 2.84509e-01
1.01500e-01 1.44544e-17 2.94453e-01
1.14762e-01 2.08930e-17 3.02629e-01
1.29757e-01 3.01995e-17 3.08810e-01
1.46712e-01 4.36516e-17 3.12167e-01
1.65882e-01 6.30957e-17 3.13121e-01
1.87557e-01 9.12011e-17 3.12148e-01
2.12063e-01 1.31826e-16 3.09051e-01
2.39772e-01 1.90546e-16 3.04154e-01
2.71102e-01 2.75423e-16 2.97672e-01
3.06525e-01 3.98107e-16 2.89994e-01
3.46577e-01 5.75440e-16 2.81501e-01
3.91861e-01 8.31764e-16 2.72216e-01
4.43063e-01 1.20226e-15 2.62277e-01
5.00955e-01 1.73780e-15 2.51918e-01
5.66412e-01 2.51189e-15 2.41226e-01
6.40421e-01 3.63078e-15 2.30222e-01
7.24101e-01 5.24807e-15 2.19017e-01
8.18715e-01 7.58578e-15 2.07687e-01
9.25690e-01 1.09648e-14 1.96170e-01
1.04664e+00 1.58489e-14 1.84699e-01
1.18340e+00 2.29087e-14 1.73140e-01
1.33803e+00 3.31131e-14 1.61898e-01
1.51286e+00 4.78630e-14 1.50471e-01
1.71054e+00 6.91831e-14 1.39519e-01
1.93404e+00 1.00000e-13 1.29136e-01
2.18675e+00 1.44544e-13 1.18852e-01
2.47248e+00 2.08930e-13 1.09271e-01
2.79554e+00 3.01995e-13 1.00395e-01
3.16082e+00 4.36516e-13 9.19793e-02
3.57382e+00 6.30957e-13 8.41415e-02
4.04079e+00 9.12011e-13 7.68665e-02
4.56877e+00 1.31826e-12 6.97861e-02
5.16574e+00 1.90546e-12 6.35131e-02
5.84071e+00 2.75423e-12 5.75143e-02
6.60388e+00 3.98107e-12 5.19991e-02
7.46676e+00 5.75440e-12 4.68754e-02
8.44240e+00 8.31764e-12 4.21375e-02
9.54551e+00 1.20226e-11 3.77633e-02
1.07928e+01 1.73780e-11 3.37814e-02
1.22030e+01 2.51189e-11 3.01495e-02
1.37975e+01 3.63078e-11 2.68465e-02
1.56003e+01 5.24808e-11 2.38629e-02
1.76387e+01 7.58578e-11 2.11780e-02
1.99434e+01 1.09648e-10 1.87715e-02
2.25493e+01 1.58489e-10 1.66205e-02
2.54956e+01 2.29087e-10 1.47038e-02
2.88270e+01 3.31131e-10 1.30002e-02
3.25936e+01 4.78630e-10 1.14889e-02
3.68524e+01 6.91831e-10 1.01503e-02
4.16677e+01 1.00000e-09 8.96606e-03
4.71121e+01 1.44544e-09 7.91933e-03
5.32679e+01 2.08930e-09 6.99471e-03
6.02281e+01 3.01995e-09 6.17825e-03
6.80977e+01 4.36516e-09 5.45745e-03
7.69956e+01 6.30957e-09 4.82116e-03
8.70561e+01 9.12011e-09 4.25944e-03
9.84311e+01 1.31826e-08 3.76352e-03
1.11293e+02 1.90546e-08 3.32565e-03
1.25834e+02 2.75423e-08 2.93897e-03
1.42276e+02 3.98107e-08 2.59746e-03
1.60867e+02 5.75440e-08 2.29580e-03
1.81886e+02 8.31764e-08 2.02931e-03
2.05652e+02 1.20226e-07 1.79386e-03
2.32523e+02 1.73780e-07 1.58582e-03
2.62905e+02 2.51189e-07 1.40197e-03
2.97257e+02 3.63078e-07 1.23949e-03
3.36098e+02 5.24808e-07 1.09588e-03
3.80014e+02 7.58578e-07 9.68949e-04
4.29668e+02 1.09648e-06 8.56744e-04
4.85809e+02 1.58489e-06 7.57554e-04
5.49287e+02 2.29087e-06 6.69865e-04
6.21058e+02 3.31131e-06 5.92340e-04
7.02208e+02 4.78630e-06 5.23797e-04
7.93961e+02 6.91831e-06 4.63195e-04
8.97703e+02 1.00000e-05 4.09611e-04
